brand,month,latest_filing_date,product_name,filing_no,filer,month_count,note
参半,2026-06,2026-06-29,参半专研修护牙膏,粤国牙膏网备字2026003198,深圳小阔科技股份有限公司,2,2026-06存在备案记录
笑容加,2026-06,,,,,0,2026-06未检索到备案记录
高露洁,2026-06,,,,,0,2026-06未检索到备案记录
佳洁士,2026-06,,,,,0,2026-06未检索到备案记录
BOP,2026-06,,,,,0,2026-06未检索到备案记录
白惜,2026-06,,,,,0,2026-06未检索到备案记录
俊小白,2026-06,,,,,0,2026-06未检索到备案记录
冷酸灵,2026-06,2026-06-25,冷酸灵抗敏感牙膏(乐齿护龈),渝国牙膏网备字2026000033,重庆登康口腔护理用品股份有限公司,7,2026-06存在备案记录
舒适达,2026-06,,,,,0,2026-06未检索到备案记录
好来,2026-06,,,,,0,2026-06未检索到备案记录
